season,team_code,division
2023,COL,red
2023,WPPI,red
2023,MBKM,red
2023,RMMR,red
2023,HW,red
2023,POQ,white
2023,WYCC,white
2023,WO,white
2023,WW,white
2023,CV,white
2023,WYTH,white
2023,KCD,white
2023,GG,blue
2023,RRST,blue
2023,JRCC,blue
2023,BLMA,blue
2023,EL,blue
2023,NHM,blue
2024,MBKM,red
2024,WPPI,red
2024,COL,red
2024,POQ,red
2024,RMMR,red
2024,HW,red
2024,WO,white
2024,WYCC,white
2024,CV,white
2024,WW,white
2024,GG,white
2024,WYTH,white
2024,KCD,blue
2024,JRCC,blue
2024,RRST,blue
2024,BLMA,blue
2024,EL,blue
2025,WPPI,red
2025,WO,red
2025,MBKM,red
2025,COL,red
2025,RMMR,red
2025,POQ,red
2025,CV,white
2025,WYCC,white
2025,GG,white
2025,HW,white
2025,WW,white
2025,WYTH,white
2025,KCD,blue
2025,JRCC,blue
2025,RRST,blue
2025,BLMA,blue
2025,EL,blue
2026,WPPI,red
2026,WO,red
2026,MBKM,red
2026,COL,red
2026,POQ,red
2026,CV,red
2026,WYCC,white
2026,GG,white
2026,HW,white
2026,WW,white
2026,RMMR,white
2026,KCD,white
2026,JRCC,blue
2026,RRST,blue
2026,BLMA,blue
2026,EL,blue
2026,WYTH,blue
2026,VG,blue
